 INFO  Accepting connections at http://localhost:8099
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/bubble_mid.d32e199f08bb715e094a60f98402343b.wav
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/bubble_end.baccfce54018f422c41d061f75d5b2f7.wav
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 3 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/sounds/sfx_game_win.b3b5246079bc14b73e7d85ff9f791156.mp3
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 3 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 206 in 2 ms
 HTTP  10.5.2026 23:05:22 127.0.0.1 GET /assets/assets/table_green_default.290ee7e732026eabd8681e56ebf8ff6b.png
 HTTP  10.5.2026 23:05:22 127.0.0.1 Returned 200 in 2 ms
 HTTP  10.5.2026 23:05:22 127.0.0.1 GET /assets/assets/card_select.6c678882cc1c0b646a46822b812f2644.mov
 HTTP  10.5.2026 23:05:22 127.0.0.1 Returned 206 in 2 ms
 HTTP  10.5.2026 23:05:22 127.0.0.1 GET /assets/assets/sounds/7.3ca4b4cc3bbbaf760e1ef87e6399c4b5.mp3
 HTTP  10.5.2026 23:05:22 127.0.0.1 GET /assets/assets/dice_roll.ce55b5c527df549d61ab6cdf8bd24b32.m4a
 HTTP  10.5.2026 23:05:22 127.0.0.1 Returned 206 in 2 ms
 HTTP  10.5.2026 23:05:22 127.0.0.1 Returned 206 in 1 ms
